LOC	Management	Herbaceous biomass (kg ha -1)	Shannon Index	Woody Cover (%)	Crude Proteine (%)	Ash Content (%)	Relative Feed Value
Garcipollera	B	160.2134146	10.0660066	1	-31.93563397	37.78445583	63.94545347
Garcipollera	B	75.34059946	62.5158831	8	-20.23495335	51.78763145	86.17866391
Garcipollera	B	174.0200547	30.85427136	11	-14.9833236	15.90747022	103.2776474
Garcipollera	B	-5.178211163	40.81524616	12	-13.54066501	76.25170618	60.70229743
Garcipollera	B	70.92060399	46.94092827	22	-21.02171447	90.78882625	44.28164224
Garcipollera	B	110.2681992	69.186382	-5	-22.35775441	37.10891906	24.88358253
Garcipollera	C	42.27272727	31.39158576	32	-24.59628632	57.72586108	99.34339875
Garcipollera	C	-23.39832869	32.24880383	14	-26.46063647	-9.978936529	-4.241838954
Garcipollera	C	120.2696825	14.38415159	4	20.96061068	7.672906404	59.62016438
Garcipollera	C	114.7350993	16.36363636	-4	-4.386833257	91.05185234	72.92860455
Garcipollera	C	201.3622291	28.0203476	17	-12.1377049	101.3924962	70.72281369
Garcipollera	C	75.49320473	14.84245439	15	-15.79761702	9.684038042	33.80063652
Garcipollera	C	201.2791573	27.41861531	17	-31.91770744	30.10306611	46.81763685
Garcipollera	C	224.9420849	24.42013129	-1	-24.10232408	65.0780111	39.22474655
Garcipollera	C	17.40478299	29.02670112	12	-19.1880639	105.7311173	52.71416214
Garcipollera	D	168.8750863	33.9055794	5	0.403543752	-16.20640517	10.14465354
Garcipollera	D	415.5364807	16.43002028	5	-7.276847326	23.87991687	27.33739571
Garcipollera	D	28.23227462	19.54924057	6	-6.874003885	-2.46509024	3.343717798
Garcipollera	D	86.40616401	84.12256267	-4	-9.294594305	13.84546228	2.754606039
Garcipollera	D	5.720338983	21.77083333	4	-20.88902825	50.06698734	-2.738946119
Garcipollera	D	91.90600522	51.51345291	-12	14.36974747	87.30725629	22.21847451
Garcipollera	D	46.24447717	9.940357853	8	-17.86852638	67.03775853	37.84829406
Garcipollera	D	618.2943604	28.68735084	14	-9.793374734	-4.752144399	-0.277877975
Garcipollera	D	81.69312169	28.58508604	7	-11.64049351	46.45980568	12.07011738
Garcipollera	CONTROL	268.5908319	21.70439414	13	-29.90617531	26.74274141	14.70005565
Garcipollera	CONTROL	-40.71740184	63.18883174	-8	-21.78883187	29.26134871	45.13841755
Garcipollera	CONTROL	16.52334152	20.39337474	12	-39.22425285	9.432733404	51.30717096
Garcipollera	CONTROL	13.18051576	9.806567701	-5	-25.1738075	11.93176699	51.35751266
Garcipollera	CONTROL	44.25876011	-12.35908142	-24	-30.34142443	52.37508094	76.15923145
Garcipollera	CONTROL	53.99551904	11.3098115	-15	-37.28219462	50.09947047	44.07506826
Garcipollera	CONTROL	41.14583333	11.92084942	-10	-41.23763571	-29.9701662	29.66476195
Garcipollera	CONTROL	149.0972919	6.980961015	4	-40.70011392	10.84795512	2.754388906
Garcipollera	CONTROL	-3.902953586	70.59219381	-3	-19.38318274	78.54533069	13.61338407
